,TITLE,YEAR,AUTHOR,CLASSIFIED_AUTHORS
83,Catastrophic Failure Prediction for Phase Control Thyristors in AC Pulsed Power Applications,2020,"['AMARAL, FERNANDO', 'SIDELMO MAGALHAES SILVA', 'CONCEICAO, CLAUDIO', 'GUIMARAES, GUSTAVO', 'INACIO, CLEBER', 'CARDOSO, BRAZ']","['AMARAL, FERNANDO (egresso(s/o))', 'SIDELMO MAGALHAES SILVA (docente)', 'CONCEICAO, CLAUDIO (egresso(s/o))', 'GUIMARAES, GUSTAVO (egresso(s/o))', 'INACIO, CLEBER (externo)', 'CARDOSO, BRAZ (docente)']"
84,Estimação de Estados de uma Câmara Termoeletricamente Controlada utilizando Projetos de Filtros H1,2020,"['J.  DE OLIVEIRA, BARBARA', 'VICTOR COSTA DA SILVA CAMPOS', 'F.  BRAGA, MARCIO']","['J.  DE OLIVEIRA, BARBARA (externo)', 'VICTOR COSTA DA SILVA CAMPOS (docente)', 'F.  BRAGA, MARCIO (externo)']"
85,Proposta de Sistema Aumentado para Controle Preditivo Baseado em Modelo de Inversor Trifásico com Filtro LC,2020,"['R.  A.  DEUS, FELIPE', 'VICTOR COSTA DA SILVA CAMPOS', 'A.  FOGLI, GABRIEL']","['R.  A.  DEUS, FELIPE (externo)', 'VICTOR COSTA DA SILVA CAMPOS (docente)', 'A.  FOGLI, GABRIEL (docente)']"
86,Novel Gaussian State Estimator based on H2 Norm and Steady-State Variance,2020,"['DE PAULA, ALESI AUGUSTO', 'VICTOR COSTA DA SILVA CAMPOS', 'VIANNA RAFFO, GUILHERME', 'SOARES TEIXEIRA, BRUNO OTAVIO']","['DE PAULA, ALESI AUGUSTO (egresso(s/o))', 'VICTOR COSTA DA SILVA CAMPOS (docente)', 'VIANNA RAFFO, GUILHERME (docente)', 'SOARES TEIXEIRA, BRUNO OTAVIO (docente)']"
87,Backstepping com Aproximação Adaptativa e Redução de Complexidade para um Sistema de Rotor Duplo,2020,"['R.  MACEDO, FERNANDA', 'A.  B.  TORRES, LEONARDO', 'VICTOR COSTA DA SILVA CAMPOS']","['R.  MACEDO, FERNANDA (discente)', 'A.  B.  TORRES, LEONARDO (docente)', 'VICTOR COSTA DA SILVA CAMPOS (docente)']"
88,Automatic Translation of Blocking Flexible Job Shop Scheduling Problems to Automata Using the Supervisory Control Theory,2020,"['DANIEL SARSUR', 'PATRICIA NASCIMENTO PENA', 'RICARDO HIROSHI CALDEIRA TAKAHASHI']","['DANIEL SARSUR (externo)', 'PATRICIA NASCIMENTO PENA (docente)', 'RICARDO HIROSHI CALDEIRA TAKAHASHI (docente)']"
89,Observation of moiré superlattices on twisted bilayer graphene by scanning microwave impedance microscopy,2020,"['OHLBERG, DOUGLAS A.  A. ', 'CASSIO GONCALVES DO REGO', 'JORIO, ADO', 'MEDEIROS-RIBEIRO, GILBERTO', 'GADELHA, ANDREIJ C. ', 'TAMIA, DIEGO', 'NETO, ELIEL G.  S. ', 'MIRANDA, DANIEL A. ', 'LEMOS, JESSICA S. ', 'SANTANA, FABIANO C. ', 'CAMPOS, LEONARDO C. ', 'RAMIREZ, JHONATTAN C. ']","['OHLBERG, DOUGLAS A.  A.  (externo)', 'CASSIO GONCALVES DO REGO (docente)', 'JORIO, ADO (externo)', 'MEDEIROS-RIBEIRO, GILBERTO (docente)', 'GADELHA, ANDREIJ C.  (externo)', 'TAMIA, DIEGO (externo)', 'NETO, ELIEL G.  S.  (externo)', 'MIRANDA, DANIEL A.  (externo)', 'LEMOS, JESSICA S.  (externo)', 'SANTANA, FABIANO C.  (externo)', 'CAMPOS, LEONARDO C.  (externo)', 'RAMIREZ, JHONATTAN C.  (docente)']"
90,Near-field microwave microscopy and processing of nanostructured materials,2020,"['AVELINO, WELLINGTON O. ', 'LOPEZ, DIEGO C.  T. ', 'OHLBERG, DOUGLAS A.  A. ', 'GIRALDO, BRIAN', 'GUERRERO, JESUS A. ', 'RAMIREZ, JHONATTAN C. ', 'KOBAYASHI, NOBUHIKO P. ', 'CASSIO GONCALVES DO REGO', 'MEDEIROS-RIBEIRO, GILBERTO']","['AVELINO, WELLINGTON O.  (externo)', 'LOPEZ, DIEGO C.  T.  (egresso(s/o))', 'OHLBERG, DOUGLAS A.  A.  (externo)', 'GIRALDO, BRIAN (externo)', 'GUERRERO, JESUS A.  (externo)', 'RAMIREZ, JHONATTAN C.  (docente)', 'KOBAYASHI, NOBUHIKO P.  (externo)', 'CASSIO GONCALVES DO REGO (docente)', 'MEDEIROS-RIBEIRO, GILBERTO (docente)']"
91,Backstepping com Aproximação Adaptativa e Redução de Complexidade para um Sistema de Rotor Duplo,2020,"['FERNANDA R.  MACEDO', 'LEONARDO ANTONIO BORGES TORRES', 'CAMPOS, VICTOR C.  S. ']","['FERNANDA R.  MACEDO (discente)', 'LEONARDO ANTONIO BORGES TORRES (docente)', 'CAMPOS, VICTOR C.  S.  (docente)']"
92,MPC robusto para sistemas lineares com saltos Markovianos restrições em segundo momento,2020,"['ROSILEIDE LOPES', 'EDUARDO MAZONI ANDRADE MARCAL MENDES', 'LEONARDO ANTONIO BORGES TORRES', 'ALESSANDRO DO NASCIMENTO VARGAS', 'REINALDO MARTINEZ PALHARES']","['ROSILEIDE LOPES (egresso(s/o))', 'EDUARDO MAZONI ANDRADE MARCAL MENDES (docente)', 'LEONARDO ANTONIO BORGES TORRES (docente)', 'ALESSANDRO DO NASCIMENTO VARGAS (externo)', 'REINALDO MARTINEZ PALHARES (docente)']"
